uid rid mid hand crux k1 k2 k3 k4 hold.goodness cross big.move match
0 47 1 left false 1 1 1 1 0 false false false
0 47 2 right false 1 1 1 1 0 false false false
0 47 3 right false 4 54 26 59 1 false false false
0 47 4 right false 31 55 40 60 0 false false false
0 47 5 left false 11 15 13 16 0 false false false
0 47 6 right false 2 2 3 3 0 false false true
0 47 7 left false 1 29 41 61 1 false true false
0 47 8 right true 11 56 35 62 1 false false false
0 47 9 left false 31 55 40 60 0 false false false
0 47 10 left false 18 24 20 25 -1 false false false
0 47 11 right false 24 57 42 63 1 false false false
0 47 12 left false 2 2 3 3 0 false false true
0 47 13 left false 31 55 40 60 0 false false false
0 47 14 left false 23 58 30 64 1 false false false
0 47 15 right false 2 2 3 3 0 false false true
0 47 16 left true 4 43 26 47 1 false false false
0 47 17 right false 4 43 26 47 1 false false false
0 47 18 left false 2 2 3 3 0 false false true
0 47 19 right false 1 1 1 1 0 false false false
0 48 1 left false 11 59 13 65 -1 false false false
0 48 2 right false 2 2 3 3 0 false false true
0 48 3 left false 24 38 31 42 0 false false false
0 48 4 right false 32 60 43 66 0 false false false
0 48 5 left true 24 61 31 67 -1 false false false
0 48 6 left false 11 56 35 62 1 false false false
0 48 7 right true 33 62 44 68 0 false false false
0 48 8 right true 1 1 2 2 0 false true false
0 49 1 left false 26 63 45 69 1 false false false
0 49 2 right false 26 63 45 69 1 false false false
0 49 3 left false 2 2 3 3 0 false false true
0 49 4 right false 4 64 5 70 -1 false false false
0 49 5 left false 31 55 40 60 0 false false false
0 49 6 left false 4 5 5 6 0 false false false
0 49 7 left true 34 65 46 71 0 false true false
0 50 1 left false 23 66 30 72 1 false false false
0 50 2 right false 23 66 30 72 1 false false false
0 50 3 left false 31 55 40 60 0 false false false
0 50 4 left true 4 43 26 47 1 false false false
0 50 5 right false 2 2 3 3 0 false false true
0 50 6 right false 24 67 42 73 1 false false false
0 51 0 right false 4 43 26 47 1 false false false
0 51 1 left false 4 43 26 47 1 false false true
0 51 2 right false 1 1 1 1 0 false false false
0 51 3 left false 4 41 5 45 -1 false false false
0 51 4 right false 4 51 5 55 0 false false false
0 51 5 left false 4 52 5 56 0 false false false
0 51 6 right false 4 52 29 57 0 true false false
0 51 7 left false 4 43 26 47 1 false false false
0 51 8 left false 23 53 38 58 -1 false false false
0 51 9 left false 11 56 35 62 1 false false false
0 51 10 right false 33 62 44 68 0 false false false
0 51 11 right false 1 1 2 2 0 false true false
0 51 12 left false 26 63 45 69 1 false false false
0 51 13 left false 26 63 45 69 1 false false true
0 51 14 right false 4 64 5 70 -1 false false false
0 51 15 left false 31 55 40 60 0 false false false
0 51 16 left false 4 5 5 6 0 false false false
0 51 17 left false 34 65 46 71 0 false true false
0 51 18 left false 1 29 41 61 1 false true false
0 51 19 right false 11 56 35 62 1 false false false
0 51 20 left false 31 55 40 60 0 false false false
0 51 21 right false 24 57 42 63 1 false false false
0 51 22 left false 24 57 42 63 1 false false true
0 51 23 left false 31 55 40 60 0 false false false
0 51 24 right false 24 67 42 73 1 false false false
0 51 25 right false 23 58 30 64 1 false false true
0 51 26 right false 23 58 30 64 1 false false true
0 51 27 left false 4 43 26 47 1 false false false
0 51 28 right false 4 43 26 47 1 false false false
0 51 29 right false 23 49 38 53 0 false false false
0 51 30 right false 30 50 39 54 0 false false false
0 51 31 right false 4 51 5 55 0 false false false
0 51 32 left false 4 52 5 56 0 false false false
0 51 33 right false 32 60 43 66 0 false false false
0 51 34 left false 24 61 31 67 -1 false false false
0 51 35 left false 11 56 35 62 1 false false false
0 51 36 right false 33 62 44 68 0 false false false
0 51 37 right false 1 1 2 2 0 false true false
0 51 38 left false 26 63 45 69 1 false false false
0 51 39 right false 26 63 45 69 1 false false false
0 51 40 right false 26 63 45 69 1 false false false
0 51 41 left false 26 63 45 69 1 false false true
0 51 42 left false 26 63 45 69 1 false false true
0 51 43 right false 4 64 5 70 -1 false false false
0 51 44 left false 31 55 40 60 0 false false false
0 51 45 left false 4 5 5 6 0 false false false
0 51 46 left false 23 66 30 72 1 false false false
0 51 47 right false 23 66 30 72 1 false false false
0 51 48 left false 31 55 40 60 0 false false false
0 51 49 left false 4 43 26 47 1 false false false
0 51 50 right false 4 43 26 47 1 false false true
0 52 0 left false 1 1 1 1 0 false false false
0 52 1 left false 1 1 1 1 0 false false false
0 52 2 right false 1 1 1 1 0 false false false
0 52 3 right false 31 55 40 60 0 false false false
0 52 4 left false 11 15 13 16 0 false false false
0 52 5 right false 11 15 13 16 0 false false true
0 52 6 left false 1 29 41 61 1 false true false
0 52 7 right false 11 56 35 62 1 false false false
0 52 8 left false 31 55 40 60 0 false false false
0 52 9 left false 18 24 20 25 -1 false false false
0 52 10 right false 24 57 42 63 1 false false false
0 52 11 left false 24 57 42 63 1 false false true
0 52 12 left false 31 55 40 60 0 false false false
0 52 13 left false 23 58 30 64 1 false false false
0 52 14 left false 23 58 30 64 1 false false false
0 52 15 right false 23 58 30 64 1 false false true
0 52 16 left false 4 43 26 47 1 false false false
0 52 17 right false 4 43 26 47 1 false false false
0 52 18 left false 4 43 26 47 1 false false true
0 53 0 left false 1 1 1 1 0 false false false
0 53 1 left false 1 1 1 1 0 false false false
0 53 2 right false 1 1 1 1 0 false false false
0 53 3 right false 31 55 40 60 0 false false false
0 53 4 left false 11 15 13 16 0 false false false
0 53 5 right false 11 15 13 16 0 false false true
0 53 6 left false 1 29 41 61 1 false true false
0 53 7 right false 11 56 35 62 1 false false false
0 53 8 left false 31 55 40 60 0 false false false
0 53 9 left false 18 24 20 25 -1 false false false
0 53 10 right false 24 57 42 63 1 false false false
0 53 11 left false 24 57 42 63 1 false false true
0 53 12 left false 31 55 40 60 0 false false false
0 53 13 left false 23 58 30 64 1 false false false
0 53 14 left false 23 58 30 64 1 false false false
0 53 15 right false 23 58 30 64 1 false false true
0 53 16 left false 4 43 26 47 1 false false false
0 53 17 right false 4 43 26 47 1 false false false
0 53 18 left false 4 43 26 47 1 false false true
0 54 0 left false 1 1 1 1 0 false false false
0 54 1 left false 1 1 1 1 0 false false false
0 54 2 left false 1 1 1 1 0 false false false
0 54 3 left false 1 1 1 1 0 false false false
0 54 4 left false 1 1 1 1 0 false false false
0 54 5 right false 1 1 1 1 0 false false false
0 54 6 right false 31 55 40 60 0 false false false
0 54 7 left false 11 15 13 16 0 false false false
0 54 8 right false 11 15 13 16 0 false false true
0 54 9 left false 1 29 41 61 1 false true false
0 54 10 right false 11 56 35 62 1 false false false
0 54 11 left false 31 55 40 60 0 false false false
0 54 12 left false 31 55 40 60 0 false false false
0 54 13 left false 18 24 20 25 -1 false false false
0 54 14 left false 24 57 42 63 1 false false true
0 54 15 left false 31 55 40 60 0 false false false
0 54 16 left false 23 58 30 64 1 false false false
0 54 17 right false 23 58 30 64 1 false false true
0 54 18 left false 4 43 26 47 1 false false false
0 55 0 left false 4 43 26 47 1 false false true
0 55 1 right false 1 1 1 1 0 false false false
0 55 2 left false 11 59 13 65 -1 false false false
0 55 3 right false 11 59 13 65 -1 false false true
0 55 4 left false 4 48 5 52 -2 false false false
0 55 5 right false 23 49 38 53 0 false false false
